cmtcode         zSNR     zSNR     zSNR
C201601221856A  NaN      NaN      NaN
C201601222051A  NaN      NaN      NaN
C201601230454A  1.966    1.819    1.305
C201601230905A  1.128    1.316    1.261
C201601231008A  NaN      NaN      NaN
C201601231805A  0.617    0.730    1.801
C201601241030A  40.725   12.202   9.399
C201601250000A  1.350    1.022    1.380
C201601250422A  19.403   1.278    1.385
C201601250554A  0.741    1.480    1.913
C201601250610A  1.429    1.379    1.241
C201601250917A  0.730    0.766    1.101
C201601251452A  1.210    1.027    0.491
C201601251805A  0.691    0.831    0.573
C201601252302A  0.687    0.788    1.162
C201601260019A  1.048    0.936    1.137
C201601260231A  1.176    1.469    1.385
C201601260235A  1.416    1.654    0.885
C201601260310A  7.730    1.348    4.567
C201601261350A  0.611    0.690    0.823
C201601261547A  1.176    1.128    0.961
C201601261751A  0.936    0.787    0.972
C201601262003A  2.723    1.173    0.879
C201601262159A  0.942    0.966    1.351
C201601262206A  0.846    1.097    1.305
C201601270124A  1.873    1.021    1.080
C201601270127A  1.075    1.230    1.831
C201601270513A  1.154    1.123    2.014
C201601270632A  0.889    0.861    1.286
C201601271511A  0.843    1.102    1.081
C201601280151A  1.560    1.158    0.986
C201601280346A  0.918    1.270    1.093
C201601282003A  1.423    1.143    1.672
C201601290002A  0.813    0.757    0.912
C201601290229A  0.801    0.721    1.008
C201601291732A  0.759    0.951    0.923
C201601292007A  1.059    0.810    0.992
C201601300008A  1.270    1.376    1.007
C201601300016A  0.710    0.840    1.054
C201601300028A  0.923    0.777    0.554
C201601300030A  0.891    0.939    1.038
C201601300325A  22.123   1.823    6.342
C201601301202A  1.190    0.743    0.679
C201601301350A  1.007    1.305    1.322
C201601302223A  0.602    0.879    1.036
C201601302346A  0.786    0.882    2.235
C201601310250A  1.004    0.800    0.944
C201601310741A  1.024    0.806    0.897
C201601311138A  NaN      NaN      NaN
C201601311620A  0.596    0.787    0.831
C201601311739A  0.978    0.899    1.908
C201601312301A  0.960    0.952    0.884
C201601312323A  0.900    0.927    1.191
C201602011752A  1.024    1.142    0.910
C201602011900A  1.541    0.942    0.840
C201602012234A  1.395    1.018    2.074
C201602020254A  1.139    0.942    0.991
C201602020314A  1.106    0.872    0.863
C201602020531A  0.578    0.838    1.068
C201602020718A  1.277    1.122    0.943
C201602021419A  0.703    1.557    1.190
C201602021936A  1.396    0.930    0.911
C201602031154A  1.437    1.263    1.583
C201602031630A  1.206    0.743    1.069
C201602031827A  0.966    0.969    1.476
C201602032027A  NaN      NaN      NaN
C201602032101A  NaN      NaN      NaN
C201602040007A  NaN      NaN      NaN
C201602040048A  NaN      NaN      NaN
C201602040058A  NaN      NaN      NaN
C201602040133A  NaN      NaN      NaN
C201602040659A  NaN      NaN      NaN
C201602040713A  NaN      NaN      NaN
C201602040852A  NaN      NaN      NaN
C201602041243A  NaN      NaN      NaN
C201602041613A  NaN      NaN      NaN
C201602042219A  NaN      NaN      NaN
C201602042241A  NaN      NaN      NaN
C201602042345A  NaN      NaN      NaN
C201602050500A  NaN      NaN      NaN
C201602050528A  NaN      NaN      NaN
C201602050858A  NaN      NaN      NaN
C201602051748A  NaN      NaN      NaN
C201602051957A  NaN      NaN      NaN
C201602060139A  NaN      NaN      NaN
C201602060451A  NaN      NaN      NaN
C201602062054A  NaN      NaN      NaN
