cmtcode         zSNR     zSNR     zSNR
C201604300438A  NaN      NaN      NaN
C201604300835A  NaN      NaN      NaN
C201604300926A  NaN      NaN      NaN
C201604302030A  NaN      NaN      NaN
C201605010235A  NaN      NaN      NaN
C201605011035A  NaN      NaN      NaN
C201605011856A  NaN      NaN      NaN
C201605020026A  NaN      NaN      NaN
C201605020421A  NaN      NaN      NaN
C201605020524A  NaN      NaN      NaN
C201605020651A  NaN      NaN      NaN
C201605020658A  NaN      NaN      NaN
C201605020726A  NaN      NaN      NaN
C201605020737A  NaN      NaN      NaN
C201605020810A  NaN      NaN      NaN
C201605021150A  NaN      NaN      NaN
C201605021217A  NaN      NaN      NaN
C201605021338A  NaN      NaN      NaN
C201605021424A  NaN      NaN      NaN
C201605022149A  NaN      NaN      NaN
C201605030000A  NaN      NaN      NaN
C201605030235A  NaN      NaN      NaN
C201605030708A  NaN      NaN      NaN
C201605031751A  NaN      NaN      NaN
C201605032025A  NaN      NaN      NaN
C201605032306A  NaN      NaN      NaN
C201605040028A  NaN      NaN      NaN
C201605040149A  NaN      NaN      NaN
C201605041436A  NaN      NaN      NaN
C201605041520A  NaN      NaN      NaN
C201605041610A  NaN      NaN      NaN
C201605050131A  NaN      NaN      NaN
C201605050140A  NaN      NaN      NaN
C201605050240A  NaN      NaN      NaN
C201605050515A  NaN      NaN      NaN
C201605050701A  NaN      NaN      NaN
C201605050905A  NaN      NaN      NaN
C201605051101A  NaN      NaN      NaN
C201605051323A  NaN      NaN      NaN
C201605051721A  NaN      NaN      NaN
C201605052039A  NaN      NaN      NaN
C201605052227A  NaN      NaN      NaN
C201605060511A  NaN      NaN      NaN
C201605060640A  NaN      NaN      NaN
C201605061519A  NaN      NaN      NaN
C201605061525A  NaN      NaN      NaN
C201605061709A  NaN      NaN      NaN
C201605061921A  NaN      NaN      NaN
C201605061932A  NaN      NaN      NaN
C201605070018A  NaN      NaN      NaN
C201605070106A  NaN      NaN      NaN
C201605070246A  NaN      NaN      NaN
C201605070429A  NaN      NaN      NaN
C201605070525A  NaN      NaN      NaN
C201605070542A  NaN      NaN      NaN
C201605070916A  NaN      NaN      NaN
C201605071045A  NaN      NaN      NaN
C201605071051A  NaN      NaN      NaN
C201605071515A  NaN      NaN      NaN
C201605071607A  NaN      NaN      NaN
C201605071730A  NaN      NaN      NaN
C201605080731A  NaN      NaN      NaN
C201605080734A  NaN      NaN      NaN
C201605081348A  NaN      NaN      NaN
C201605090133A  NaN      NaN      NaN
C201605091519A  NaN      NaN      NaN
C201605091523A  NaN      NaN      NaN
C201605091603A  NaN      NaN      NaN
C201605100402A  NaN      NaN      NaN
C201605100556A  NaN      NaN      NaN
C201605100944A  NaN      NaN      NaN
C201605101721A  NaN      NaN      NaN
C201605110115A  NaN      NaN      NaN
C201605111311A  NaN      NaN      NaN
C201605111344A  NaN      NaN      NaN
C201605111606A  NaN      NaN      NaN
C201605111955A  NaN      NaN      NaN
C201605112235A  NaN      NaN      NaN
C201605120317A  NaN      NaN      NaN
C201605120429A  NaN      NaN      NaN
C201605120632A  NaN      NaN      NaN
C201605121955A  NaN      NaN      NaN
C201605122022A  NaN      NaN      NaN
C201605122043A  NaN      NaN      NaN
C201605122228A  NaN      NaN      NaN
C201605130007A  NaN      NaN      NaN
C201605130659A  NaN      NaN      NaN
C201605130824A  NaN      NaN      NaN
C201605131003A  NaN      NaN      NaN
C201605131905A  NaN      NaN      NaN
C201605140332A  NaN      NaN      NaN
C201605141821A  NaN      NaN      NaN
C201605141907A  NaN      NaN      NaN
C201605142052A  NaN      NaN      NaN
C201605142252A  NaN      NaN      NaN
C201605150550A  NaN      NaN      NaN
C201605150624A  NaN      NaN      NaN
C201605150723A  NaN      NaN      NaN
C201605151100A  NaN      NaN      NaN
C201605151204A  NaN      NaN      NaN
C201605151804A  NaN      NaN      NaN
C201605151913A  NaN      NaN      NaN
C201605160041A  1.197    1.304    1.019
C201605160145A  2.885    2.107    1.757
C201605160639A  1.063    1.109    1.084
C201605160715A  1.479    0.781    1.301
C201605160850A  0.658    0.594    0.750
C201605161124A  1.387    1.057    1.052
C201605161223A  1.313    1.043    1.064
C201605170147A  NaN      NaN      NaN
C201605170202A  NaN      NaN      NaN
C201605170456A  0.776    1.247    0.779
C201605171034A  0.183    0.334    1.292
C201605171358A  0.179    0.018    0.020
C201605171648A  6.286    15.021   21.236
C201605171705A  1.123    1.491    3.193
C201605172036A  2.028    0.786    0.893
C201605172108A  0.229    0.330    0.757
C201605172201A  0.386    0.751    0.792
C201605180757A  11.011   3.760    1.297
C201605181449A  0.425    0.963    1.336
C201605181507A  0.264    0.389    0.427
C201605181646A  19.917   3.992    1.681
C201605190415A  NaN      NaN      NaN
C201605191908A  NaN      NaN      NaN
C201605192025A  NaN      NaN      NaN
C201605200409A  NaN      NaN      NaN
C201605200437A  NaN      NaN      NaN
C201605200606A  NaN      NaN      NaN
C201605200701A  NaN      NaN      NaN
C201605201212A  NaN      NaN      NaN
C201605201404A  NaN      NaN      NaN
C201605201814A  NaN      NaN      NaN
C201605210606A  NaN      NaN      NaN
C201605210745A  NaN      NaN      NaN
C201605211114A  NaN      NaN      NaN
C201605211641A  NaN      NaN      NaN
C201605220106A  NaN      NaN      NaN
C201605220132A  NaN      NaN      NaN
C201605220148A  NaN      NaN      NaN
C201605220205A  NaN      NaN      NaN
C201605221147A  NaN      NaN      NaN
C201605221220A  NaN      NaN      NaN
C201605221340A  NaN      NaN      NaN
C201605221451A  NaN      NaN      NaN
C201605230343A  NaN      NaN      NaN
C201605231333A  NaN      NaN      NaN
C201605231517A  NaN      NaN      NaN
C201605231731A  NaN      NaN      NaN
C201605231920A  NaN      NaN      NaN
C201605232357A  NaN      NaN      NaN
C201605240723A  NaN      NaN      NaN
C201605241635A  NaN      NaN      NaN
C201605241743A  NaN      NaN      NaN
C201605241752A  NaN      NaN      NaN
C201605250836A  NaN      NaN      NaN
C201605252301A  NaN      NaN      NaN
C201605260102A  NaN      NaN      NaN
C201605261053A  NaN      NaN      NaN
C201605261309A  NaN      NaN      NaN
C201605261840A  NaN      NaN      NaN
C201605262000A  NaN      NaN      NaN
C201605270344A  NaN      NaN      NaN
C201605270408A  NaN      NaN      NaN
C201605271000A  NaN      NaN      NaN
C201605271339A  NaN      NaN      NaN
C201605271503A  NaN      NaN      NaN
C201605280443A  NaN      NaN      NaN
C201605280538B  NaN      NaN      NaN
C201605280947A  NaN      NaN      NaN
C201605282354A  NaN      NaN      NaN
C201605290558A  NaN      NaN      NaN
C201605291820A  NaN      NaN      NaN
C201605292023A  NaN      NaN      NaN
C201605300103A  NaN      NaN      NaN
C201605300514A  NaN      NaN      NaN
C201605300714A  NaN      NaN      NaN
C201605300735A  NaN      NaN      NaN
C201605300947A  NaN      NaN      NaN
C201605301055A  NaN      NaN      NaN
C201605301535A  NaN      NaN      NaN
C201605301736A  NaN      NaN      NaN
C201605302227A  NaN      NaN      NaN
C201605310523A  NaN      NaN      NaN
C201605311003A  NaN      NaN      NaN
C201605311629A  NaN      NaN      NaN
C201605312051A  NaN      NaN      NaN
C201606010830A  NaN      NaN      NaN
C201606011005A  NaN      NaN      NaN
C201606011225A  NaN      NaN      NaN
C201606011500A  NaN      NaN      NaN
C201606011524A  NaN      NaN      NaN
C201606011537A  NaN      NaN      NaN
C201606012131A  NaN      NaN      NaN
C201606012256A  NaN      NaN      NaN
C201606020223A  NaN      NaN      NaN
C201606020243A  NaN      NaN      NaN
C201606021102A  NaN      NaN      NaN
C201606022118A  NaN      NaN      NaN
C201606022241A  NaN      NaN      NaN
C201606022339A  NaN      NaN      NaN
C201606031150A  NaN      NaN      NaN
C201606031340A  NaN      NaN      NaN
C201606031551A  NaN      NaN      NaN
C201606031823A  NaN      NaN      NaN
C201606040918A  NaN      NaN      NaN
C201606041044A  NaN      NaN      NaN
C201606042159A  NaN      NaN      NaN
C201606050247A  NaN      NaN      NaN
C201606050407A  NaN      NaN      NaN
C201606050551A  NaN      NaN      NaN
C201606050624A  NaN      NaN      NaN
C201606051038A  NaN      NaN      NaN
C201606051505A  NaN      NaN      NaN
C201606051625A  NaN      NaN      NaN
C201606052142A  NaN      NaN      NaN
C201606052233A  NaN      NaN      NaN
C201606060235A  NaN      NaN      NaN
C201606061217A  NaN      NaN      NaN
C201606061316A  NaN      NaN      NaN
C201606061321A  NaN      NaN      NaN
C201606061616A  NaN      NaN      NaN
C201606070029A  NaN      NaN      NaN
C201606070255A  NaN      NaN      NaN
C201606070516A  NaN      NaN      NaN
C201606071051A  NaN      NaN      NaN
C201606071058A  NaN      NaN      NaN
C201606071420A  NaN      NaN      NaN
C201606071915A  NaN      NaN      NaN
C201606080056A  NaN      NaN      NaN
C201606080154A  NaN      NaN      NaN
C201606080202A  NaN      NaN      NaN
C201606080831A  NaN      NaN      NaN
C201606081038A  NaN      NaN      NaN
C201606081051A  NaN      NaN      NaN
C201606081224A  NaN      NaN      NaN
C201606081330A  NaN      NaN      NaN
C201606082018A  NaN      NaN      NaN
C201606090413A  NaN      NaN      NaN
C201606091954A  NaN      NaN      NaN
C201606100045A  NaN      NaN      NaN
C201606100136A  NaN      NaN      NaN
C201606100325A  NaN      NaN      NaN
C201606100417A  NaN      NaN      NaN
C201606100804B  NaN      NaN      NaN
C201606100926A  NaN      NaN      NaN
C201606101052A  NaN      NaN      NaN
C201606101207A  NaN      NaN      NaN
C201606101829A  NaN      NaN      NaN
C201606101924A  NaN      NaN      NaN
C201606111716A  NaN      NaN      NaN
C201606112254A  NaN      NaN      NaN
C201606120456A  NaN      NaN      NaN
C201606120701A  NaN      NaN      NaN
C201606121340A  NaN      NaN      NaN
C201606121847A  NaN      NaN      NaN
C201606130053A  NaN      NaN      NaN
C201606130059A  NaN      NaN      NaN
C201606130421A  NaN      NaN      NaN
C201606130427A  NaN      NaN      NaN
C201606131144A  NaN      NaN      NaN
C201606131741A  NaN      NaN      NaN
C201606132313A  NaN      NaN      NaN
C201606140005A  NaN      NaN      NaN
C201606140145A  NaN      NaN      NaN
C201606140213A  NaN      NaN      NaN
C201606140216A  NaN      NaN      NaN
C201606140303A  NaN      NaN      NaN
C201606140345A  NaN      NaN      NaN
C201606141349A  NaN      NaN      NaN
C201606141501A  NaN      NaN      NaN
C201606141713A  NaN      NaN      NaN
C201606142209A  NaN      NaN      NaN
C201606142242A  NaN      NaN      NaN
C201606150658A  NaN      NaN      NaN
C201606150902A  NaN      NaN      NaN
C201606151331A  NaN      NaN      NaN
C201606151346A  NaN      NaN      NaN
C201606152106A  NaN      NaN      NaN
C201606160126A  NaN      NaN      NaN
C201606160521A  NaN      NaN      NaN
C201606161031A  NaN      NaN      NaN
C201606161346A  NaN      NaN      NaN
C201606162142A  NaN      NaN      NaN
C201606162142B  NaN      NaN      NaN
C201606170839A  NaN      NaN      NaN
C201606171439A  NaN      NaN      NaN
C201606172126A  NaN      NaN      NaN
C201606180112A  NaN      NaN      NaN
C201606181452A  NaN      NaN      NaN
C201606181729A  NaN      NaN      NaN
C201606181858B  NaN      NaN      NaN
C201606182038A  NaN      NaN      NaN
C201606182115A  NaN      NaN      NaN
C201606190116A  NaN      NaN      NaN
C201606190500A  NaN      NaN      NaN
C201606190947A  NaN      NaN      NaN
C201606191217A  NaN      NaN      NaN
C201606191730A  NaN      NaN      NaN
C201606191820A  NaN      NaN      NaN
C201606192252A  NaN      NaN      NaN
C201606192313A  NaN      NaN      NaN
C201606200257A  NaN      NaN      NaN
C201606200350A  NaN      NaN      NaN
C201606201011A  NaN      NaN      NaN
C201606201036A  NaN      NaN      NaN
C201606201249A  NaN      NaN      NaN
C201606201341A  NaN      NaN      NaN
C201606210453A  NaN      NaN      NaN
C201606210838A  NaN      NaN      NaN
C201606211410A  NaN      NaN      NaN
C201606211626A  NaN      NaN      NaN
C201606211712A  NaN      NaN      NaN
C201606220242A  NaN      NaN      NaN
C201606220354A  NaN      NaN      NaN
C201606221059A  NaN      NaN      NaN
C201606221741A  NaN      NaN      NaN
C201606222010A  NaN      NaN      NaN
C201606222143A  NaN      NaN      NaN
C201606230148A  NaN      NaN      NaN
C201606230305A  NaN      NaN      NaN
C201606230744A  NaN      NaN      NaN
C201606231135A  NaN      NaN      NaN
C201606231455A  NaN      NaN      NaN
C201606231523A  NaN      NaN      NaN
C201606232105A  NaN      NaN      NaN
C201606240044A  NaN      NaN      NaN
C201606240329A  NaN      NaN      NaN
C201606240923A  NaN      NaN      NaN
C201606242129A  NaN      NaN      NaN
C201606242243A  NaN      NaN      NaN
C201606242316A  NaN      NaN      NaN
C201606250157B  NaN      NaN      NaN
C201606250302A  NaN      NaN      NaN
C201606250559A  NaN      NaN      NaN
C201606250640A  NaN      NaN      NaN
C201606251220A  NaN      NaN      NaN
C201606251754A  NaN      NaN      NaN
C201606251955A  0.681    1.005    0.986
C201606252149A  1.802    1.274    1.305
C201606260046A  1.438    1.086    0.882
C201606260518A  0.986    1.024    0.994
C201606260519A  0.777    1.167    1.099
C201606260721A  1.477    0.805    0.751
C201606260914A  1.220    1.061    0.962
C201606261117A  9.959    2.107    2.120
C201606261418A  0.628    0.966    0.843
C201606262005A  1.459    1.150    1.186
C201606262015A  2.572    1.216    0.877
C201606262257A  1.468    0.948    1.436
C201606270625A  1.226    1.010    1.108
C201606271251A  2.257    1.570    1.800
C201606271928B  0.733    1.215    0.701
C201606272050A  2.429    1.409    1.942
C201606280932A  0.929    0.888    0.962
C201606281329A  0.874    0.877    0.813
C201606281355A  0.861    0.863    1.222
C201606282138A  1.661    1.273    1.261
C201606282246A  6.160    1.397    0.721
C201606290205A  0.965    0.923    0.883
C201606290407A  1.396    0.939    0.975
C201606290808A  1.010    1.073    1.405
C201606290837A  2.032    1.281    1.927
C201606290958B  1.417    1.082    0.679
C201606291006A  2.364    1.471    1.243
C201606291107A  1.153    0.996    0.762
C201606291117A  0.748    1.172    0.845
C201606291201A  1.482    1.074    0.919
C201606291217A  1.048    1.241    0.902
C201606291719A  1.217    1.067    0.576
C201606291742A  0.717    0.873    0.569
C201606291812A  1.138    0.804    0.812
C201606292233A  NaN      NaN      NaN
C201606292256A  NaN      NaN      NaN
C201606300154A  1.270    0.817    1.485
C201606301019A  1.060    1.225    1.954
C201606301046A  1.610    0.991    2.389
C201606301130A  4.283    1.252    1.369
C201606301220A  1.073    0.922    1.431
C201606301823A  1.735    0.919    0.884
C201607011058A  1.314    0.993    0.800
C201607011458A  1.505    0.545    0.605
C201607011658A  0.854    1.019    0.889
C201607020147A  0.502    0.861    0.841
C201607020535A  0.720    1.209    0.995
C201607021104A  0.991    1.200    1.398
C201607022350A  0.887    0.937    1.146
C201607030158A  13.030   1.863    3.419
C201607030216A  0.225    0.482    0.826
C201607031613A  1.004    1.023    1.167
C201607031738A  1.062    0.823    1.254
C201607032022A  1.521    0.736    0.809
C201607040224B  1.023    0.781    1.004
C201607040925A  4.818    2.536    3.107
C201607041052A  0.671    1.054    0.767
C201607041415A  2.145    1.142    1.032
C201607041738A  1.340    1.185    0.878
C201607041840A  0.538    0.920    1.122
C201607041953A  0.719    0.773    0.703
C201607050229A  1.391    0.791    0.950
C201607051133A  0.888    0.766    0.743
C201607051522A  0.845    0.902    1.347
C201607051906A  2.485    1.447    1.514
C201607060027A  1.156    1.229    0.905
C201607060101A  1.584    1.215    1.150
C201607060619A  1.123    1.164    1.408
C201607061313A  1.223    0.837    0.794
C201607061529A  0.683    0.768    1.254
C201607062100A  0.418    1.067    0.786
C201607062358A  0.829    0.847    0.752
C201607070416A  0.828    1.157    1.257
C201607070955A  0.824    0.672    0.808
C201607071012A  1.453    1.026    1.002
C201607080035A  1.340    1.059    1.217
C201607080311A  0.569    1.095    1.201
C201607080319A  1.366    1.262    0.454
C201607080428A  2.050    1.125    0.805
C201607080940A  0.829    0.954    1.720
C201607081648A  1.177    1.206    1.079
C201607081712A  0.825    1.250    1.890
C201607082316A  0.985    1.323    1.022
C201607090845A  1.028    1.506    1.224
C201607091137A  1.216    0.965    1.069
C201607091411A  0.454    0.717    0.843
C201607091637A  1.127    0.726    0.984
C201607100100A  2.301    1.071    1.607
C201607100232A  1.592    1.149    1.330
C201607100931A  0.681    1.047    1.157
C201607101341A  7.086    2.392    2.958
C201607101344A  13.050   1.949    2.179
C201607101632A  1.033    1.164    0.888
C201607102133A  0.764    0.826    0.841
C201607102359A  1.807    0.886    0.717
C201607110035A  0.614    1.128    1.444
C201607110201A  3.824    1.619    1.387
C201607110211A  7.696    1.456    0.945
C201607110622A  0.849    1.155    0.921
C201607112028A  1.412    0.854    0.721
C201607112054A  1.208    0.735    0.766
C201607112141A  1.206    1.174    0.932
C201607112148A  0.846    1.334    1.285
C201607120641A  1.171    1.208    1.307
C201607120716A  0.984    0.808    0.992
C201607120848A  0.911    1.118    1.056
C201607121014A  1.002    0.820    0.506
C201607121157A  1.585    0.986    0.989
C201607121625A  1.579    1.266    0.607
C201607130058A  0.859    1.054    0.759
C201607130301A  1.736    0.934    1.392
C201607130645A  1.005    1.050    0.939
C201607131156A  6.054    1.356    1.092
C201607131211A  26.723   3.659    3.842
C201607131218A  9.995    3.516    4.895
C201607131304A  1.111    0.812    0.551
C201607140205C  0.821    0.770    1.608
C201607140217A  0.995    1.146    1.147
C201607140224A  1.266    0.971    2.001
C201607140537A  0.693    0.910    0.991
C201607140634A  0.460    1.260    0.883
C201607140836A  14.103   1.802    1.333
C201607141828A  1.047    1.111    0.565
C201607151016A  1.697    0.918    1.086
C201607151802A  3.099    0.769    1.204
C201607151858A  0.870    1.010    0.718
C201607160619A  1.447    1.360    1.047
C201607160821A  1.500    1.032    1.520
C201607161442A  0.962    1.075    1.400
C201607161643A  1.402    0.894    1.060
C201607170131A  5.678    1.331    1.074
C201607170424A  0.785    0.633    0.774
C201607170534A  0.953    0.741    0.480
C201607171055B  0.630    0.928    0.786
C201607171308A  1.219    0.934    0.958
C201607171328A  1.362    0.889    0.725
C201607172307A  1.283    1.486    1.310
C201607180135A  0.784    1.317    1.203
C201607180258A  1.200    1.197    1.205
C201607180532A  1.524    1.342    1.340
C201607180859A  1.207    1.161    0.621
C201607181027A  0.841    1.244    1.017
C201607181902A  1.799    1.166    1.254
C201607182116A  1.168    1.404    1.379
C201607190329A  0.938    0.998    1.135
C201607190357A  0.502    0.830    0.981
C201607190518A  1.398    1.199    1.129
C201607191232A  0.498    1.085    1.118
C201607191342A  1.297    1.324    0.733
C201607191849A  1.272    0.819    0.882
C201607192225A  0.759    0.921    0.838
C201607192350A  0.984    0.840    0.857
C201607200120A  1.075    1.360    1.356
C201607200330A  0.667    0.935    1.017
C201607200358A  0.628    0.848    0.814
C201607200757A  1.663    0.960    0.571
C201607201104A  1.276    1.324    0.791
C201607201513A  2.575    1.092    1.334
C201607202248A  1.035    1.365    1.094
C201607210437A  0.973    1.591    2.663
C201607210545A  1.516    0.896    0.769
C201607210854A  1.537    0.939    1.021
C201607211518A  1.769    1.114    2.220
C201607211628A  1.245    1.054    1.815
C201607212251A  0.729    1.158    0.793
C201607212309A  0.734    1.106    0.898
C201607220357A  2.848    1.583    2.190
C201607221131A  2.037    1.109    0.637
C201607230100A  0.633    0.933    0.981
C201607230618A  0.862    0.790    1.038
C201607230741A  0.844    4.775    5.482
C201607230852A  1.206    0.785    0.919
C201607230959A  2.170    1.095    1.210
C201607231821A  2.689    1.123    1.264
C201607232009A  13.479   3.423    6.545
C201607232217A  1.526    0.862    1.022
C201607240145A  0.946    0.864    1.320
C201607240251A  0.905    1.059    1.149
C201607240422A  0.678    1.151    1.178
C201607240845A  1.558    0.900    1.000
C201607241400A  0.672    0.911    0.822
C201607241410A  1.433    1.173    1.585
C201607241803A  2.414    0.834    1.490
C201607242210A  0.715    0.913    1.137
C201607250838A  1.121    1.256    0.782
C201607250858A  1.178    1.102    0.960
C201607250900A  1.602    0.947    0.762
C201607251511A  1.214    1.090    1.218
C201607251726A  4.489    1.867    2.236
C201607251938A  29.487   10.014   14.090
C201607260549A  4.834    1.349    1.139
C201607260631A  0.471    0.687    0.933
C201607260715A  1.186    0.743    0.909
C201607260804A  2.258    0.943    0.743
C201607261253A  1.477    0.842    1.372
C201607261429A  0.561    0.794    0.884
C201607261632A  1.109    1.034    1.179
C201607261946A  1.343    0.680    0.942
C201607262300A  1.636    1.049    0.690
C201607270002A  1.154    1.001    1.011
C201607270029A  0.736    0.940    1.626
C201607270125A  1.539    1.484    0.701
C201607270420A  1.011    1.241    0.850
C201607270643A  1.790    0.788    0.689
C201607271156A  1.380    0.856    0.813
C201607271447A  0.413    0.728    0.868
C201607280122A  1.682    1.796    0.675
C201607281534A  1.086    0.827    1.530
C201607282155A  1.771    1.080    0.782
C201607290829A  1.303    1.442    1.080
C201607291126A  0.599    1.439    1.275
C201607292118A  155.281  25.297   41.536
C201607301319A  1.084    0.747    0.848
C201607301452A  1.259    0.861    0.761
C201607301726A  1.681    0.778    0.922
C201607302242A  0.860    1.014    0.831
C201607310107A  0.977    1.245    1.122
C201607310918A  2.380    1.224    1.261
C201607310934A  1.655    1.020    1.417
C201607311133A  1.628    1.312    1.189
C201607311717A  2.757    1.282    1.927
C201607311816A  1.604    1.214    1.184
C201607312114A  0.807    1.214    0.700
C201607312340A  0.589    0.801    0.967
C201608010355A  1.125    1.189    0.941
C201608010446A  1.110    0.993    0.892
C201608010551A  1.719    1.488    1.005
C201608010742A  1.635    1.099    1.091
C201608010821A  0.554    0.683    0.822
C201608011001A  0.476    1.234    1.447
C201608011029A  0.733    1.196    0.964
C201608020419A  0.614    1.108    0.854
C201608020732A  0.637    1.271    1.145
C201608031515A  1.308    0.881    0.670
C201608031540A  1.009    0.851    1.122
C201608040557A  0.631    0.846    0.824
C201608040901A  1.083    1.103    0.820
C201608041415A  1.730    1.223    1.418
C201608041624A  1.574    1.152    1.853
C201608050940A  2.567    1.868    2.808
C201608051043A  2.064    0.922    0.948
C201608051234A  0.623    1.392    1.083
C201608051504A  0.880    0.777    0.821
C201608051740A  1.760    1.285    4.039
C201608051749A  2.027    1.035    0.992
C201608060111A  1.162    1.208    1.045
C201608060419A  0.526    1.041    1.129
C201608060908A  0.961    1.079    1.115
C201608061055A  1.832    1.387    1.464
C201608061223A  0.745    1.124    0.980
C201608061956A  3.084    1.085    1.800
C201608070141A  1.273    1.056    0.976
C201608070556A  2.929    0.817    0.906
C201608070815A  1.073    1.355    1.557
C201608071402A  0.540    0.781    0.507
C201608072121A  1.854    1.109    1.542
C201608081224A  1.328    1.207    1.579
C201608081811A  0.957    0.767    1.557
C201608081903A  1.517    1.280    1.994
C201608091127A  0.839    0.963    1.530
C201608091321A  1.105    1.267    0.858
C201608091343A  0.704    1.290    1.131
C201608100257A  0.939    1.276    0.493
C201608100406A  1.478    1.117    1.297
C201608100817A  0.749    0.825    1.028
C201608102323A  0.790    1.086    0.524
C201608110101A  0.960    0.948    1.041
C201608110335A  0.580    0.835    0.581
C201608110938A  1.810    1.165    1.000
C201608111016A  0.828    1.171    1.149
C201608111120A  0.583    1.164    0.954
C201608111806A  1.139    0.696    0.680
C201608120046A  1.187    1.016    0.779
C201608120126A  118.438  56.595   59.728
C201608120329A  0.264    0.429    0.385
C201608121300A  0.433    1.351    0.983
C201608121800A  1.526    1.366    0.805
C201608121820A  1.342    1.093    0.963
C201608121838A  1.081    1.001    0.518
C201608122047A  1.923    0.983    1.993
C201608122132A  0.793    0.860    0.751
C201608122335A  0.823    0.701    0.661
C201608130637A  1.126    0.608    0.827
C201608130703A  1.187    0.600    0.791
C201608130829A  1.751    0.768    1.099
C201608131320A  0.683    0.905    0.929
C201608131405A  1.189    0.792    0.855
C201608131615A  0.559    1.107    0.890
C201608132015A  1.039    1.117    1.294
C201608132041A  2.258    0.868    1.329
C201608132259A  2.273    0.891    0.893
C201608140409A  2.238    1.301    1.209
C201608141115A  5.248    1.553    2.324
C201608141328A  2.030    0.815    0.817
C201608141505A  0.957    0.993    0.892
C201608141628A  4.229    1.142    1.638
C201608142243A  0.616    0.990    0.688
C201608150102A  0.413    0.944    1.106
C201608150258A  1.607    1.100    0.877
C201608150528A  1.081    1.031    0.759
C201608150704A  1.014    1.363    1.031
C201608150823A  1.041    1.098    1.104
C201608151132A  0.385    0.888    0.752
C201608151706A  0.972    1.610    1.078
C201608151801A  1.417    1.099    1.046
C201608160258A  1.170    1.323    1.339
C201608161613A  0.801    1.005    0.792
C201608161817A  1.099    0.800    0.741
C201608162133A  1.613    1.262    1.765
C201608162357A  2.411    1.611    2.563
C201608171403A  0.612    0.965    0.992
C201608171622A  0.827    1.132    1.064
C201608172214A  0.470    0.816    1.085
C201608172226A  0.318    1.035    0.592
C201608180329A  0.753    1.312    1.314
C201608180407A  1.052    0.840    0.856
C201608180430A  0.899    0.820    0.601
C201608180732A  1.449    0.935    1.090
C201608180754A  3.160    1.418    1.001
C201608181049A  1.089    1.092    1.483
C201608181119A  0.686    1.069    0.899
C201608181525A  1.170    0.679    1.020
C201608181625A  1.068    1.044    1.395
C201608181654A  1.020    1.309    1.446
C201608181809A  8.702    1.773    1.312
C201608181849A  1.587    0.800    0.793
C201608181948A  1.453    1.005    0.871
C201608190455A  1.868    1.145    1.540
C201608190732A  45.425   4.646    10.064
C201608191733A  2.346    1.258    2.235
C201608192037A  2.860    0.886    0.706
C201608192256A  0.977    1.425    1.455
C201608200004A  0.992    0.966    2.119
C201608200015A  1.386    0.728    2.148
C201608200313A  1.243    0.584    0.428
C201608200514A  0.797    0.860    1.434
C201608200901A  2.878    1.614    0.795
C201608201117A  1.387    0.977    1.167
C201608201127A  0.953    0.730    0.372
C201608201558A  0.945    0.469    0.301
C201608201610A  5.069    2.476    4.882
C201608201628A  2.738    1.317    0.984
C201608210042A  0.857    1.044    1.001
C201608210230A  0.927    0.640    0.554
C201608210345A  2.952    1.694    1.698
C201608210428A  0.963    0.993    1.278
C201608211246A  0.576    0.625    0.684
C201608211249A  0.546    0.860    0.740
C201608211455A  0.756    1.039    1.057
C201608212313A  2.121    1.278    1.241
C201608220142A  1.569    1.063    0.897
C201608220239A  1.180    0.947    0.958
C201608220611A  0.873    1.462    1.364
C201608220832A  0.625    0.830    0.783
C201608221020A  0.733    0.778    0.868
C201608221142A  0.768    0.930    0.914
C201608221210A  0.846    0.991    0.855
C201608221729A  1.001    0.713    0.738
C201608222043A  1.168    1.225    0.924
C201608230054A  0.518    1.504    0.930
C201608230211A  0.884    0.975    1.085
C201608230252A  1.035    1.181    1.115
C201608230902A  2.565    0.983    0.750
C201608231202A  0.587    1.024    0.855
C201608231447A  0.429    0.732    0.353
C201608231747A  1.443    0.867    1.787
C201608231939A  0.846    1.100    1.507
C201608232015A  1.054    0.645    0.647
C201608232259A  1.235    0.955    0.629
C201608240136A  13.882   7.746    8.981
C201608240233A  0.685    0.526    0.321
C201608240427A  1.251    1.318    0.904
C201608241034A  8.371    1.800    1.598
C201608241348A  1.278    1.257    0.813
C201608250102A  2.648    1.096    1.291
C201608251236A  1.719    0.797    2.285
C201608251704A  0.775    0.677    0.947
C201608260425A  1.742    0.947    1.276
C201608260428A  0.895    0.723    0.826
C201608261035A  1.126    0.714    1.149
C201608261101A  1.199    1.120    1.464
C201608261158A  1.138    1.235    1.231
C201608261548A  0.627    1.092    1.432
C201608261553A  1.675    0.871    0.933
C201608270234A  1.716    1.126    0.818
C201608270451A  1.319    1.254    1.074
C201608270859A  0.500    1.188    0.891
C201608271514A  2.340    1.386    1.186
C201608271739A  0.930    0.929    0.942
C201608272047A  2.332    8.130    7.074
C201608280723A  0.748    0.972    0.655
C201608280955A  0.865    1.108    1.908
C201608281426A  0.859    1.082    1.083
C201608281814A  1.031    1.371    1.109
C201608282329A  2.710    0.776    1.383
C201608290430A  113.896  22.493   37.071
C201608292140A  0.656    1.087    0.852
